Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Created,Resolved,Component/s,Labels,Custom field (Story Points),Custom field (Blocked),Custom field (Flagged),Custom field (Age),Sprint,Priority,Custom field (Epic Link),Outward issue link (Dependency),Inward issue link (Dependency)
[Beta Squad] Sample work item 1201,AIOP-1201,10001201,Story,Done,AIOP,Perception & Parking SW Group,27/Mar/26 10:18 AM,12/Apr/26 10:18 AM,Beta Squad,frontend,5,,,,PMD_25PI4_Sprint11 [COMPLETED] + Sprint12 [COMPLETED],Could (3),AIOP-166,,
[Beta Squad] Sample work item 1202,AIOP-1202,10001202,Story,Done,AIOP,Perception & Parking SW Group,30/Mar/26 10:53 AM,31/Mar/26 10:53 AM,Beta Squad,backend,8,,,,PMD_25PI4_Sprint11 [COMPLETED],Must (1),AIOP-132,,
[Beta Squad] Sample work item 1203,AIOP-1203,10001203,Story,Done,AIOP,Perception & Parking SW Group,30/Mar/26 10:52 AM,15/Apr/26 10:52 AM,Beta Squad,infra,3,Impediment,,,PMD_25PI4_Sprint11 [COMPLETED] + Sprint12 [COMPLETED],Won't (4),AIOP-194,,
[Beta Squad] Sample work item 1204,AIOP-1204,10001204,Story,Blocked,AIOP,Perception & Parking SW Group,31/Mar/26 11:21 AM,,Beta Squad,infra,,,,42,PMD_25PI4_Sprint11 [ACTIVE],Must (1),AIOP-147,,
[Beta Squad] Sample work item 1205,AIOP-1205,10001205,Bug,Blocked,AIOP,Perception & Parking SW Group,7/Apr/26 10:26 AM,,Beta Squad,tech-debt,5,,,35,PMD_25PI4_Sprint12 [ACTIVE],Won't (4),AIOP-199,,AIOP-1175
[Beta Squad] Sample work item 1206,AIOP-1206,10001206,Bug,Done,AIOP,Perception & Parking SW Group,7/Apr/26 4:58 PM,27/Apr/26 4:58 PM,Beta Squad,tech-debt,3,Impediment,,,PMD_25PI4_Sprint12 [COMPLETED] + Sprint13 [COMPLETED],Should (2),AIOP-185,,
[Beta Squad] Sample work item 1207,AIOP-1207,10001207,Story,Blocked,AIOP,Perception & Parking SW Group,9/Apr/26 11:53 AM,,Beta Squad,tech-debt,,Impediment,,33,PMD_25PI4_Sprint12 [ACTIVE],Won't (4),AIOP-163,,AIOP-1125
[Beta Squad] Sample work item 1208,AIOP-1208,10001208,Story,Blocked,AIOP,Perception & Parking SW Group,10/Apr/26 4:05 PM,,Beta Squad,ml,8,,,31,PMD_25PI4_Sprint12 [ACTIVE],Must (1),AIOP-113,,AIOP-1140
[Beta Squad] Sample work item 1209,AIOP-1209,10001209,Story,To Do,AIOP,Perception & Parking SW Group,6/Apr/26 12:54 PM,,Beta Squad,data-pipeline,5,,,35,PMD_25PI4_Sprint12 [ACTIVE],Could (3),AIOP-191,,AIOP-1168
[Beta Squad] Sample work item 1210,AIOP-1210,10001210,Story,Blocked,AIOP,Perception & Parking SW Group,16/Apr/26 10:16 AM,,Beta Squad,,8,,,26,PMD_25PI4_Sprint12 [ACTIVE],Could (3),AIOP-113,,AIOP-1162
[Beta Squad] Sample work item 1211,AIOP-1211,10001211,Story,To Do,AIOP,Perception & Parking SW Group,16/Apr/26 4:42 PM,,Beta Squad,ml,1,,,25,PMD_25PI4_Sprint12 [ACTIVE],Must (1),AIOP-170,,
[Beta Squad] Sample work item 1212,AIOP-1212,10001212,Task,Funnel,AIOP,Perception & Parking SW Group,17/Apr/26 3:26 PM,,Beta Squad,infra,5,,,24,PMD_25PI4_Sprint12 [ACTIVE],Could (3),AIOP-137,,
[Beta Squad] Sample work item 1213,AIOP-1213,10001213,Bug,Implementing,AIOP,Perception & Parking SW Group,15/Apr/26 2:58 PM,,Beta Squad,tech-debt,8,,,26,PMD_25PI4_Sprint12 [ACTIVE],Must (1),AIOP-197,,
[Beta Squad] Sample work item 1214,AIOP-1214,10001214,Story,Implementing,AIOP,Perception & Parking SW Group,16/Apr/26 11:03 AM,,Beta Squad,tech-debt,3,,,26,PMD_25PI4_Sprint12 [ACTIVE],Must (1),AIOP-188,,
[Beta Squad] Sample work item 1215,AIOP-1215,10001215,Story,Funnel,AIOP,Perception & Parking SW Group,20/Apr/26 3:24 PM,,Beta Squad,data-pipeline,1,,,21,PMD_25PI4_Sprint13 [ACTIVE],Could (3),AIOP-125,,
[Beta Squad] Sample work item 1216,AIOP-1216,10001216,Task,Funnel,AIOP,Perception & Parking SW Group,22/Apr/26 5:47 PM,,Beta Squad,infra,5,,,19,PMD_25PI4_Sprint13 [ACTIVE],Must (1),AIOP-123,,
[Beta Squad] Sample work item 1217,AIOP-1217,10001217,Bug,Blocked,AIOP,Perception & Parking SW Group,21/Apr/26 9:09 AM,,Beta Squad,tech-debt,5,Impediment,,21,PMD_25PI4_Sprint13 [ACTIVE],Won't (4),AIOP-173,,AIOP-1181
[Beta Squad] Sample work item 1218,AIOP-1218,10001218,Story,Funnel,AIOP,Perception & Parking SW Group,20/Apr/26 2:14 PM,,Beta Squad,infra,3,,,21,PMD_25PI4_Sprint13 [ACTIVE],Won't (4),AIOP-171,,
[Beta Squad] Sample work item 1219,AIOP-1219,10001219,Task,Blocked,AIOP,Perception & Parking SW Group,20/Apr/26 3:16 PM,,Beta Squad,data-pipeline,13,Impediment,Impediment,21,PMD_25PI4_Sprint13 [ACTIVE],Won't (4),AIOP-162,AIOP-1166,
[Beta Squad] Sample work item 1220,AIOP-1220,10001220,Task,Blocked,AIOP,Perception & Parking SW Group,30/Apr/26 10:13 AM,,Beta Squad,backend,8,,,12,PMD_25PI4_Sprint13 [ACTIVE],Should (2),AIOP-103,,
[Beta Squad] Sample work item 1221,AIOP-1221,10001221,Task,Funnel,AIOP,Perception & Parking SW Group,30/Apr/26 3:28 PM,,Beta Squad,backend,8,,,11,PMD_25PI4_Sprint13 [ACTIVE],Must (1),AIOP-196,,AIOP-1217
[Beta Squad] Sample work item 1222,AIOP-1222,10001222,Story,To Do,AIOP,Perception & Parking SW Group,27/Apr/26 4:10 PM,,Beta Squad,tech-debt,2,,,14,PMD_25PI4_Sprint13 [ACTIVE],Could (3),AIOP-101,,
[Beta Squad] Sample work item 1223,AIOP-1223,10001223,Bug,Implementing,AIOP,Perception & Parking SW Group,29/Apr/26 12:26 PM,,Beta Squad,,3,,,12,PMD_25PI4_Sprint13 [ACTIVE],Must (1),AIOP-123,,
[Beta Squad] Sample work item 1224,AIOP-1224,10001224,Story,Review,AIOP,Perception & Parking SW Group,1/May/26 4:21 PM,,Beta Squad,frontend,3,,,10,PMD_25PI4_Sprint13 [ACTIVE],Won't (4),AIOP-142,,
[Gamma Squad] Sample work item 1225,AIOP-1225,10001225,Bug,Review,AIOP,Perception & Parking SW Group,5/Nov/25 2:08 PM,,Gamma Squad,ml,5,,,187,PMD_25PI4_Sprint1 [ACTIVE],Could (3),AIOP-162,,
[Gamma Squad] Sample work item 1226,AIOP-1226,10001226,Story,Done,AIOP,Perception & Parking SW Group,3/Nov/25 9:54 AM,27/Nov/25 9:54 AM,Gamma Squad,data-pipeline,3,,,,PMD_25PI4_Sprint1 [COMPLETED] + Sprint2 [COMPLETED],Must (1),AIOP-170,,
[Gamma Squad] Sample work item 1227,AIOP-1227,10001227,Story,Done,AIOP,Perception & Parking SW Group,7/Nov/25 5:05 PM,9/Nov/25 5:05 PM,Gamma Squad,,,,,,PMD_25PI4_Sprint1 [COMPLETED],Should (2),AIOP-196,,
[Gamma Squad] Sample work item 1228,AIOP-1228,10001228,Story,Done,AIOP,Perception & Parking SW Group,6/Nov/25 12:04 PM,21/Nov/25 12:04 PM,Gamma Squad,,3,,,,PMD_25PI4_Sprint1 [COMPLETED] + Sprint2 [COMPLETED],Won't (4),AIOP-158,,AIOP-1166
[Gamma Squad] Sample work item 1229,AIOP-1229,10001229,Story,In Progress,AIOP,Perception & Parking SW Group,6/Nov/25 2:37 PM,,Gamma Squad,ml,,,,186,PMD_25PI4_Sprint1 [ACTIVE],Should (2),AIOP-166,,
[Gamma Squad] Sample work item 1230,AIOP-1230,10001230,Bug,Review,AIOP,Perception & Parking SW Group,5/Nov/25 12:09 PM,,Gamma Squad,,2,,,188,PMD_25PI4_Sprint1 [ACTIVE],Should (2),AIOP-153,,
[Gamma Squad] Sample work item 1231,AIOP-1231,10001231,Story,Done,AIOP,Perception & Parking SW Group,14/Nov/25 9:57 AM,30/Nov/25 9:57 AM,Gamma Squad,infra,,Impediment,,,PMD_25PI4_Sprint1 [COMPLETED] + Sprint2 [COMPLETED],Won't (4),AIOP-176,,
[Gamma Squad] Sample work item 1232,AIOP-1232,10001232,Bug,Done,AIOP,Perception & Parking SW Group,12/Nov/25 10:13 AM,12/Dec/25 10:13 AM,Gamma Squad,,5,Impediment,Impediment,,PMD_25PI4_Sprint1 [COMPLETED] + Sprint2 [COMPLETED] + Sprint3 [COMPLETED],Should (2),AIOP-179,,
[Gamma Squad] Sample work item 1233,AIOP-1233,10001233,Story,Done,AIOP,Perception & Parking SW Group,13/Nov/25 10:14 AM,26/Nov/25 10:14 AM,Gamma Squad,backend,3,Impediment,,,PMD_25PI4_Sprint1 [COMPLETED] + Sprint2 [COMPLETED],Won't (4),AIOP-119,,
[Gamma Squad] Sample work item 1234,AIOP-1234,10001234,Bug,Done,AIOP,Perception & Parking SW Group,14/Nov/25 5:48 PM,23/Nov/25 5:48 PM,Gamma Squad,,1,,,,PMD_25PI4_Sprint1 [COMPLETED] + Sprint2 [COMPLETED],Won't (4),AIOP-166,,
[Gamma Squad] Sample work item 1235,AIOP-1235,10001235,Story,Done,AIOP,Perception & Parking SW Group,14/Nov/25 10:27 AM,22/Nov/25 10:27 AM,Gamma Squad,infra,5,,,,PMD_25PI4_Sprint1 [COMPLETED] + Sprint2 [COMPLETED],Won't (4),AIOP-132,,
[Gamma Squad] Sample work item 1236,AIOP-1236,10001236,Bug,Implementing,AIOP,Perception & Parking SW Group,10/Nov/25 5:00 PM,,Gamma Squad,infra,5,,,182,PMD_25PI4_Sprint1 [ACTIVE],Must (1),AIOP-119,,
[Gamma Squad] Sample work item 1237,AIOP-1237,10001237,Story,Done,AIOP,Perception & Parking SW Group,21/Nov/25 4:16 PM,1/Dec/25 4:16 PM,Gamma Squad,,8,,,,PMD_25PI4_Sprint2 [COMPLETED] + Sprint3 [COMPLETED],Should (2),AIOP-184,,
[Gamma Squad] Sample work item 1238,AIOP-1238,10001238,Story,Blocked,AIOP,Perception & Parking SW Group,26/Nov/25 5:39 PM,,Gamma Squad,ml,,Impediment,Impediment,166,PMD_25PI4_Sprint2 [ACTIVE],Must (1),AIOP-118,,
[Gamma Squad] Sample work item 1239,AIOP-1239,10001239,Bug,In Progress,AIOP,Perception & Parking SW Group,28/Nov/25 1:45 PM,,Gamma Squad,,2,,,164,PMD_25PI4_Sprint2 [ACTIVE],Won't (4),AIOP-156,AIOP-1217,
[Gamma Squad] Sample work item 1240,AIOP-1240,10001240,Story,Blocked,AIOP,Perception & Parking SW Group,24/Nov/25 5:33 PM,,Gamma Squad,backend,3,Impediment,,168,PMD_25PI4_Sprint2 [ACTIVE],Should (2),AIOP-111,,
[Gamma Squad] Sample work item 1241,AIOP-1241,10001241,Bug,Blocked,AIOP,Perception & Parking SW Group,28/Nov/25 2:22 PM,,Gamma Squad,frontend,5,Impediment,Impediment,164,PMD_25PI4_Sprint2 [ACTIVE],Must (1),AIOP-133,,
[Gamma Squad] Sample work item 1242,AIOP-1242,10001242,Story,Done,AIOP,Perception & Parking SW Group,27/Nov/25 3:36 PM,11/Dec/25 3:36 PM,Gamma Squad,tech-debt,5,,,,PMD_25PI4_Sprint2 [COMPLETED] + Sprint3 [COMPLETED],Must (1),AIOP-161,,AIOP-1162
[Gamma Squad] Sample work item 1243,AIOP-1243,10001243,Story,To Do,AIOP,Perception & Parking SW Group,25/Nov/25 2:26 PM,,Gamma Squad,tech-debt,13,,,167,PMD_25PI4_Sprint2 [ACTIVE],Should (2),AIOP-136,AIOP-1172,
[Gamma Squad] Sample work item 1244,AIOP-1244,10001244,Story,Done,AIOP,Perception & Parking SW Group,2/Dec/25 12:47 PM,28/Dec/25 12:47 PM,Gamma Squad,frontend,3,Impediment,Impediment,,PMD_25PI4_Sprint3 [COMPLETED] + Sprint4 [COMPLETED],Could (3),AIOP-119,,
[Gamma Squad] Sample work item 1245,AIOP-1245,10001245,Story,To Do,AIOP,Perception & Parking SW Group,3/Dec/25 4:57 PM,,Gamma Squad,ml,2,,,159,PMD_25PI4_Sprint3 [ACTIVE],Could (3),AIOP-150,,
[Gamma Squad] Sample work item 1246,AIOP-1246,10001246,Story,Done,AIOP,Perception & Parking SW Group,1/Dec/25 5:29 PM,26/Dec/25 5:29 PM,Gamma Squad,backend,3,,,,PMD_25PI4_Sprint3 [COMPLETED] + Sprint4 [COMPLETED],Could (3),AIOP-123,,
[Gamma Squad] Sample work item 1247,AIOP-1247,10001247,Story,Done,AIOP,Perception & Parking SW Group,3/Dec/25 2:54 PM,7/Dec/25 2:54 PM,Gamma Squad,tech-debt,3,,,,PMD_25PI4_Sprint3 [COMPLETED],Must (1),AIOP-192,,
[Gamma Squad] Sample work item 1248,AIOP-1248,10001248,Task,Done,AIOP,Perception & Parking SW Group,2/Dec/25 3:31 PM,24/Dec/25 3:31 PM,Gamma Squad,infra,8,,,,PMD_25PI4_Sprint3 [COMPLETED] + Sprint4 [COMPLETED],Could (3),AIOP-132,,
[Gamma Squad] Sample work item 1249,AIOP-1249,10001249,Story,Done,AIOP,Perception & Parking SW Group,10/Dec/25 2:35 PM,20/Dec/25 2:35 PM,Gamma Squad,infra,1,,,,PMD_25PI4_Sprint3 [COMPLETED] + Sprint4 [COMPLETED],Must (1),AIOP-144,,
[Gamma Squad] Sample work item 1250,AIOP-1250,10001250,Task,Implementing,AIOP,Perception & Parking SW Group,11/Dec/25 1:29 PM,,Gamma Squad,tech-debt,8,,,151,PMD_25PI4_Sprint3 [ACTIVE],Could (3),AIOP-153,,
[Gamma Squad] Sample work item 1251,AIOP-1251,10001251,Story,Done,AIOP,Perception & Parking SW Group,9/Dec/25 2:14 PM,22/Dec/25 2:14 PM,Gamma Squad,tech-debt,3,,,,PMD_25PI4_Sprint3 [COMPLETED] + Sprint4 [COMPLETED],Won't (4),AIOP-134,,
[Gamma Squad] Sample work item 1252,AIOP-1252,10001252,Bug,Done,AIOP,Perception & Parking SW Group,12/Dec/25 4:26 PM,28/Dec/25 4:26 PM,Gamma Squad,infra,,Impediment,,,PMD_25PI4_Sprint3 [COMPLETED] + Sprint4 [COMPLETED],Must (1),AIOP-126,,
[Gamma Squad] Sample work item 1253,AIOP-1253,10001253,Bug,In Progress,AIOP,Perception & Parking SW Group,8/Dec/25 10:16 AM,,Gamma Squad,ml,3,,,155,PMD_25PI4_Sprint3 [ACTIVE],Should (2),AIOP-194,,
[Gamma Squad] Sample work item 1254,AIOP-1254,10001254,Task,Funnel,AIOP,Perception & Parking SW Group,12/Dec/25 4:08 PM,,Gamma Squad,data-pipeline,5,,,150,PMD_25PI4_Sprint3 [ACTIVE],Won't (4),AIOP-167,,
[Gamma Squad] Sample work item 1255,AIOP-1255,10001255,Bug,Done,AIOP,Perception & Parking SW Group,15/Dec/25 4:19 PM,28/Dec/25 4:19 PM,Gamma Squad,,8,Impediment,Impediment,,PMD_25PI4_Sprint4 [COMPLETED],Could (3),AIOP-160,,
[Gamma Squad] Sample work item 1256,AIOP-1256,10001256,Bug,Done,AIOP,Perception & Parking SW Group,15/Dec/25 5:23 PM,4/Jan/26 5:23 PM,Gamma Squad,tech-debt,8,Impediment,Impediment,,PMD_25PI4_Sprint4 [COMPLETED] + Sprint5 [COMPLETED],Won't (4),AIOP-128,,
[Gamma Squad] Sample work item 1257,AIOP-1257,10001257,Story,Done,AIOP,Perception & Parking SW Group,15/Dec/25 11:08 AM,21/Dec/25 11:08 AM,Gamma Squad,data-pipeline,5,Impediment,Impediment,,PMD_25PI4_Sprint4 [COMPLETED],Should (2),AIOP-106,,AIOP-1052
[Gamma Squad] Sample work item 1258,AIOP-1258,10001258,Story,Review,AIOP,Perception & Parking SW Group,15/Dec/25 4:13 PM,,Gamma Squad,ml,,,,147,PMD_25PI4_Sprint4 [ACTIVE],Won't (4),AIOP-189,,
[Gamma Squad] Sample work item 1259,AIOP-1259,10001259,Spike,To Do,AIOP,Perception & Parking SW Group,15/Dec/25 1:49 PM,,Gamma Squad,frontend,,,,147,PMD_25PI4_Sprint4 [ACTIVE],Could (3),AIOP-148,,
[Gamma Squad] Sample work item 1260,AIOP-1260,10001260,Story,Done,AIOP,Perception & Parking SW Group,22/Dec/25 12:29 PM,18/Jan/26 12:29 PM,Gamma Squad,tech-debt,,Impediment,Impediment,,PMD_25PI4_Sprint4 [COMPLETED] + Sprint5 [COMPLETED] + Sprint6 [COMPLETED],Could (3),AIOP-141,,
[Gamma Squad] Sample work item 1261,AIOP-1261,10001261,Bug,Implementing,AIOP,Perception & Parking SW Group,22/Dec/25 1:30 PM,,Gamma Squad,backend,13,,,140,PMD_25PI4_Sprint4 [ACTIVE],Should (2),AIOP-114,,
[Gamma Squad] Sample work item 1262,AIOP-1262,10001262,Story,Done,AIOP,Perception & Parking SW Group,22/Dec/25 12:10 PM,31/Dec/25 12:10 PM,Gamma Squad,infra,,,,,PMD_25PI4_Sprint4 [COMPLETED] + Sprint5 [COMPLETED],Must (1),AIOP-107,,
[Gamma Squad] Sample work item 1263,AIOP-1263,10001263,Bug,Review,AIOP,Perception & Parking SW Group,22/Dec/25 3:22 PM,,Gamma Squad,ml,8,,,140,PMD_25PI4_Sprint4 [ACTIVE],Could (3),AIOP-169,,
[Gamma Squad] Sample work item 1264,AIOP-1264,10001264,Story,Done,AIOP,Perception & Parking SW Group,26/Dec/25 11:28 AM,8/Jan/26 11:28 AM,Gamma Squad,tech-debt,5,Impediment,,,PMD_25PI4_Sprint4 [COMPLETED] + Sprint5 [COMPLETED],Must (1),AIOP-179,,
[Gamma Squad] Sample work item 1265,AIOP-1265,10001265,Story,Blocked,AIOP,Perception & Parking SW Group,31/Dec/25 2:26 PM,,Gamma Squad,tech-debt,2,Impediment,,131,PMD_25PI4_Sprint5 [ACTIVE],Should (2),AIOP-122,,
[Gamma Squad] Sample work item 1266,AIOP-1266,10001266,Bug,Done,AIOP,Perception & Parking SW Group,31/Dec/25 9:23 AM,13/Jan/26 9:23 AM,Gamma Squad,tech-debt,5,,,,PMD_25PI4_Sprint5 [COMPLETED] + Sprint6 [COMPLETED],Must (1),AIOP-159,,AIOP-1212
[Gamma Squad] Sample work item 1267,AIOP-1267,10001267,Bug,In Progress,AIOP,Perception & Parking SW Group,29/Dec/25 1:33 PM,,Gamma Squad,,3,,,133,PMD_25PI4_Sprint5 [ACTIVE],Should (2),AIOP-166,AIOP-1118,
[Gamma Squad] Sample work item 1268,AIOP-1268,10001268,Story,Done,AIOP,Perception & Parking SW Group,5/Jan/26 11:50 AM,25/Jan/26 11:50 AM,Gamma Squad,infra,8,,,,PMD_25PI4_Sprint5 [COMPLETED] + Sprint6 [COMPLETED],Won't (4),AIOP-145,,
[Gamma Squad] Sample work item 1269,AIOP-1269,10001269,Task,Blocked,AIOP,Perception & Parking SW Group,8/Jan/26 3:52 PM,,Gamma Squad,data-pipeline,3,Impediment,,123,PMD_25PI4_Sprint5 [ACTIVE],Could (3),AIOP-146,,
[Gamma Squad] Sample work item 1270,AIOP-1270,10001270,Story,Funnel,AIOP,Perception & Parking SW Group,7/Jan/26 9:49 AM,,Gamma Squad,data-pipeline,5,,,125,PMD_25PI4_Sprint5 [ACTIVE],Should (2),AIOP-112,AIOP-1182,
[Gamma Squad] Sample work item 1271,AIOP-1271,10001271,Bug,Blocked,AIOP,Perception & Parking SW Group,6/Jan/26 10:46 AM,,Gamma Squad,,,Impediment,,126,PMD_25PI4_Sprint5 [ACTIVE],Must (1),AIOP-176,,AIOP-1195
[Gamma Squad] Sample work item 1272,AIOP-1272,10001272,Bug,Blocked,AIOP,Perception & Parking SW Group,16/Jan/26 9:40 AM,,Gamma Squad,data-pipeline,1,Impediment,,116,PMD_25PI4_Sprint6 [ACTIVE],Should (2),AIOP-141,,
[Gamma Squad] Sample work item 1273,AIOP-1273,10001273,Bug,Done,AIOP,Perception & Parking SW Group,13/Jan/26 11:21 AM,24/Jan/26 11:21 AM,Gamma Squad,backend,5,,,,PMD_25PI4_Sprint6 [COMPLETED],Could (3),AIOP-110,,
[Gamma Squad] Sample work item 1274,AIOP-1274,10001274,Story,Blocked,AIOP,Perception & Parking SW Group,14/Jan/26 3:20 PM,,Gamma Squad,tech-debt,5,Impediment,Impediment,117,PMD_25PI4_Sprint6 [ACTIVE],Should (2),AIOP-141,,
[Gamma Squad] Sample work item 1275,AIOP-1275,10001275,Story,Done,AIOP,Perception & Parking SW Group,14/Jan/26 4:39 PM,28/Jan/26 4:39 PM,Gamma Squad,,3,Impediment,,,PMD_25PI4_Sprint6 [COMPLETED] + Sprint7 [COMPLETED],Should (2),AIOP-196,,AIOP-1027
[Gamma Squad] Sample work item 1276,AIOP-1276,10001276,Story,Blocked,AIOP,Perception & Parking SW Group,12/Jan/26 2:13 PM,,Gamma Squad,data-pipeline,8,Impediment,,119,PMD_25PI4_Sprint6 [ACTIVE],Should (2),AIOP-188,,AIOP-1269
[Gamma Squad] Sample work item 1277,AIOP-1277,10001277,Bug,Done,AIOP,Perception & Parking SW Group,21/Jan/26 10:01 AM,3/Feb/26 10:01 AM,Gamma Squad,ml,3,,,,PMD_25PI4_Sprint6 [COMPLETED] + Sprint7 [COMPLETED],Won't (4),AIOP-165,,AIOP-1161
[Gamma Squad] Sample work item 1278,AIOP-1278,10001278,Story,Done,AIOP,Perception & Parking SW Group,23/Jan/26 1:21 PM,14/Feb/26 1:21 PM,Gamma Squad,backend,3,,,,PMD_25PI4_Sprint6 [COMPLETED] + Sprint7 [COMPLETED] + Sprint8 [COMPLETED],Could (3),AIOP-145,,
[Gamma Squad] Sample work item 1279,AIOP-1279,10001279,Bug,In Progress,AIOP,Perception & Parking SW Group,19/Jan/26 1:56 PM,,Gamma Squad,infra,3,,,112,PMD_25PI4_Sprint6 [ACTIVE],Could (3),AIOP-150,,AIOP-1195
[Gamma Squad] Sample work item 1280,AIOP-1280,10001280,Story,Implementing,AIOP,Perception & Parking SW Group,20/Jan/26 5:43 PM,,Gamma Squad,tech-debt,,,,111,PMD_25PI4_Sprint6 [ACTIVE],Should (2),AIOP-155,,
[Gamma Squad] Sample work item 1281,AIOP-1281,10001281,Spike,Funnel,AIOP,Perception & Parking SW Group,28/Jan/26 4:47 PM,,Gamma Squad,infra,2,,,103,PMD_25PI4_Sprint7 [ACTIVE],Should (2),AIOP-113,,AIOP-1136
[Gamma Squad] Sample work item 1282,AIOP-1282,10001282,Bug,Blocked,AIOP,Perception & Parking SW Group,29/Jan/26 11:32 AM,,Gamma Squad,infra,2,,,103,PMD_25PI4_Sprint7 [ACTIVE],Won't (4),AIOP-162,,
[Gamma Squad] Sample work item 1283,AIOP-1283,10001283,Story,Done,AIOP,Perception & Parking SW Group,29/Jan/26 4:44 PM,10/Feb/26 4:44 PM,Gamma Squad,frontend,5,,,,PMD_25PI4_Sprint7 [COMPLETED] + Sprint8 [COMPLETED],Must (1),AIOP-177,,
[Gamma Squad] Sample work item 1284,AIOP-1284,10001284,Bug,Done,AIOP,Perception & Parking SW Group,29/Jan/26 9:35 AM,10/Feb/26 9:35 AM,Gamma Squad,backend,3,,,,PMD_25PI4_Sprint7 [COMPLETED] + Sprint8 [COMPLETED],Won't (4),AIOP-150,,
[Gamma Squad] Sample work item 1285,AIOP-1285,10001285,Story,Funnel,AIOP,Perception & Parking SW Group,6/Feb/26 10:11 AM,,Gamma Squad,ml,5,,,95,PMD_25PI4_Sprint7 [ACTIVE],Won't (4),AIOP-103,,
[Gamma Squad] Sample work item 1286,AIOP-1286,10001286,Story,Done,AIOP,Perception & Parking SW Group,5/Feb/26 10:16 AM,11/Feb/26 10:16 AM,Gamma Squad,tech-debt,2,Impediment,Impediment,,PMD_25PI4_Sprint7 [COMPLETED] + Sprint8 [COMPLETED],Won't (4),AIOP-181,,
[Gamma Squad] Sample work item 1287,AIOP-1287,10001287,Bug,Implementing,AIOP,Perception & Parking SW Group,4/Feb/26 11:10 AM,,Gamma Squad,backend,5,,,97,PMD_25PI4_Sprint7 [ACTIVE],Could (3),AIOP-193,,
[Gamma Squad] Sample work item 1288,AIOP-1288,10001288,Task,Blocked,AIOP,Perception & Parking SW Group,6/Feb/26 9:38 AM,,Gamma Squad,tech-debt,5,Impediment,Impediment,95,PMD_25PI4_Sprint7 [ACTIVE],Must (1),AIOP-176,,
[Gamma Squad] Sample work item 1289,AIOP-1289,10001289,Story,Blocked,AIOP,Perception & Parking SW Group,2/Feb/26 1:21 PM,,Gamma Squad,frontend,2,Impediment,Impediment,98,PMD_25PI4_Sprint7 [ACTIVE],Should (2),AIOP-158,,
[Gamma Squad] Sample work item 1290,AIOP-1290,10001290,Story,Done,AIOP,Perception & Parking SW Group,4/Feb/26 2:33 PM,5/Mar/26 2:33 PM,Gamma Squad,frontend,5,Impediment,Impediment,,PMD_25PI4_Sprint7 [COMPLETED] + Sprint8 [COMPLETED] + Sprint9 [COMPLETED],Must (1),AIOP-161,,
[Gamma Squad] Sample work item 1291,AIOP-1291,10001291,Bug,To Do,AIOP,Perception & Parking SW Group,5/Feb/26 2:16 PM,,Gamma Squad,frontend,5,,,95,PMD_25PI4_Sprint7 [ACTIVE],Won't (4),AIOP-166,,
[Gamma Squad] Sample work item 1292,AIOP-1292,10001292,Spike,Done,AIOP,Perception & Parking SW Group,9/Feb/26 10:01 AM,19/Feb/26 10:01 AM,Gamma Squad,tech-debt,13,,,,PMD_25PI4_Sprint8 [COMPLETED],Won't (4),AIOP-152,AIOP-1179,
[Gamma Squad] Sample work item 1293,AIOP-1293,10001293,Story,Done,AIOP,Perception & Parking SW Group,13/Feb/26 2:49 PM,17/Feb/26 2:49 PM,Gamma Squad,infra,5,,,,PMD_25PI4_Sprint8 [COMPLETED],Must (1),AIOP-122,,
[Gamma Squad] Sample work item 1294,AIOP-1294,10001294,Story,Done,AIOP,Perception & Parking SW Group,12/Feb/26 9:41 AM,2/Mar/26 9:41 AM,Gamma Squad,infra,5,,,,PMD_25PI4_Sprint8 [COMPLETED] + Sprint9 [COMPLETED],Won't (4),AIOP-195,AIOP-1266,
[Gamma Squad] Sample work item 1295,AIOP-1295,10001295,Story,Review,AIOP,Perception & Parking SW Group,13/Feb/26 9:13 AM,,Gamma Squad,,3,,,88,PMD_25PI4_Sprint8 [ACTIVE],Should (2),AIOP-135,,
[Gamma Squad] Sample work item 1296,AIOP-1296,10001296,Task,Done,AIOP,Perception & Parking SW Group,11/Feb/26 2:45 PM,16/Feb/26 2:45 PM,Gamma Squad,ml,13,Impediment,Impediment,,PMD_25PI4_Sprint8 [COMPLETED],Could (3),AIOP-122,,
[Gamma Squad] Sample work item 1297,AIOP-1297,10001297,Task,Blocked,AIOP,Perception & Parking SW Group,12/Feb/26 5:01 PM,,Gamma Squad,infra,,Impediment,,88,PMD_25PI4_Sprint8 [ACTIVE],Could (3),AIOP-199,,
[Gamma Squad] Sample work item 1298,AIOP-1298,10001298,Bug,Done,AIOP,Perception & Parking SW Group,20/Feb/26 10:21 AM,10/Mar/26 10:21 AM,Gamma Squad,data-pipeline,8,Impediment,,,PMD_25PI4_Sprint8 [COMPLETED] + Sprint9 [COMPLETED] + Sprint10 [COMPLETED],Must (1),AIOP-173,,
